Model,Accuracy,Train Time (s),Inference Time (s),Throughput (img/s),Scaling,Interpretability
HSP,0.9376,9.731364488601685,0.2900514602661133,17238.320384295443,Non-Linear,Low
Logistic Reg,0.91,15.505172491073608,0.01153421401977539,433492.9100004134,Non-Linear,High
Ridge Clf,0.854,0.8727931976318359,0.01753687858581543,285113.45251852355,Linear,Low
KNN (k=3),0.9528,0.08444786071777344,4.893054723739624,1021.8565461247572,Non-Linear,Low
Decision Tree,0.8372,5.821221113204956,0.007445335388183594,671561.4192391443,Non-Linear,High
Random Forest,0.951,6.215749502182007,0.06025862693786621,82975.67093846318,Non-Linear,Low
Extra Trees,0.955,4.846086740493774,0.07114863395690918,70275.41812015991,Non-Linear,Low
SVM (RBF),0.9672,26.7032470703125,24.25291156768799,206.1608143849199,Non-Linear,Low
"MLP (128,64)",0.9618,13.823142766952515,0.042479515075683594,117703.79184159127,Non-Linear,Low
Naive Bayes,0.586,0.21454381942749023,0.15891051292419434,31464.249331226867,Linear,Low
